date,strategy,benchmark
2020-01-28,1098897.7264586545,296535.741326477
2020-01-29,1078696.7667728786,296239.6316625898
2020-01-30,1078739.5745479863,297167.38772678
2020-01-31,1040263.5152647983,291837.7450967473
2020-02-03,1055569.9314118251,293959.7288146314
2020-02-04,1083234.881268294,298489.9265561589
2020-02-05,1089629.9594689584,301865.38395650976
2020-02-06,1099546.6711033368,302891.8432419957
2020-02-07,1089443.5105268857,301352.1392537696
2020-02-10,1104198.2668626162,303513.61028417083
2020-02-11,1100561.2446106821,304066.3121794338
2020-02-12,1112489.6484458926,306020.52752911
2020-02-13,1109551.508458849,305724.4479852171
2020-02-14,1114333.9051688525,306237.66256796295
2020-02-18,1118635.773130995,305398.7303669406
2020-02-19,1208838.7891285552,306869.33908826025
2020-02-20,1242071.4375314016,305665.23207643855
2020-02-21,1209728.9139818083,302497.03035681276
2020-02-24,1164330.7354285552,292380.5676338824
2020-02-25,1122196.3857338417,283596.5230984589
2020-02-26,1124570.2029289617,282343.0795359864
2020-02-27,1082732.6369785552,269828.28214754054
2020-02-28,1082139.1826797752,268199.75429614657
2020-03-02,1097568.654878555,280171.72914745734
2020-03-03,1101722.7217801819,272443.75185190904
2020-03-04,1142966.8334318083,283734.7136322718
2020-03-05,1137329.1873781485,274230.168713383
2020-03-06,1094304.7128301817,269630.875704949
2020-03-09,947428.112982215,248825.50470756684
2020-03-10,982144.3405370947,260373.0737793025
2020-03-11,918942.9291848582,247463.4785656708
2020-03-12,787792.5286850615,223529.40822117712
2020-03-13,806189.2157828249,244413.73878359652
2020-03-16,815305.2466738475,215722.47136059168
2020-03-17,870812.5511521983,229846.03788417584
2020-03-18,838002.6022984615,217281.8738250849
2020-03-19,841036.363121979,217469.40090954854
2020-03-20,802495.8819059352,207994.47900504622
2020-03-23,791034.9029074176,201608.76913513825
2020-03-24,872048.550009286,220834.97895177148
2020-03-25,870924.9380645053,223667.58369499288
2020-03-26,924859.0829488476,237110.15220762618
2020-03-27,883060.067084672,229826.2942279172
2020-03-30,894679.2351800271,237258.1919795726
2020-03-31,894679.2351800271,233734.7098672725
2020-04-01,894679.2351800271,223203.70566289776
2020-04-02,894679.2351800271,228424.79583350118
2020-04-03,894679.2351800271,225049.35349314753
2020-04-06,894679.2351800271,240357.2833722948
2020-04-07,894679.2351800271,240485.59454797985
2020-04-08,894679.2351800271,248647.84192123395
2020-04-09,894679.2351800271,252339.12252173628
2020-04-13,897164.6087062198,249891.4362455728
2020-04-14,929763.1595151798,257520.7404398197
2020-04-15,906568.0644174198,251914.73180215832
2020-04-16,933132.7206825932,253187.91902088936
2020-04-17,976701.8801432865,260175.66733671105
2020-04-20,989318.1398781132,255487.5504651092
2020-04-21,959305.5438736331,247680.6136045237
2020-04-22,968395.5450825931,253128.7031121108
2020-04-23,965417.7572039799,253079.36656146005
2020-04-24,988769.6094455265,256750.90350570378
2020-04-27,999348.4448084598,260461.8976424704
2020-04-28,978034.0169388065,259257.79063064867
2020-04-29,985791.8813522465,265939.61016444385
2020-04-30,971686.7276781132,263620.2200039683
2020-05-01,947394.5717151798,256435.06524555516
2020-05-04,975996.6523522465,257244.38949218817
2020-05-05,995038.5799196598,259613.11620331448
2020-05-06,995195.2772781132,257866.15653436334
2020-05-07,996527.4140736331,260915.89631643766
2020-05-08,1006244.3242870731,265278.3256897573
2020-05-11,1043069.4357848116,265317.81300227443
2020-05-12,1016503.3163361533,259978.29101411387
2020-05-13,984519.1510386729,255369.118647552
2020-05-14,983120.9026440394,258448.46638401563
2020-05-15,1015279.8823269255,259613.11620331448
2020-05-18,1046564.9900992423,267548.34917958785
2020-05-19,1045516.3038032672,265021.7033383872
2020-05-20,1080471.7136032672,269344.64539918967
2020-05-21,1083268.143720381,267410.1887657692
2020-05-22,1096900.732207292,268012.22721168294
2020-05-26,1099347.6668979006,271456.7798789402
2020-05-27,1092531.305982292,275414.517008949
2020-05-28,1079248.2795940393,274871.69447181385
2020-05-29,1097949.4185032672,276105.4094380249
2020-06-01,1132555.332876762,277309.5164498467
2020-06-02,1146537.416790178,279589.41929780506
2020-06-03,1151256.4717859896,283280.68483831023
2020-06-04,1117699.24370847,282560.21457483934
2020-06-05,1122942.5418440395,289784.82652577537
2020-06-08,1142517.6193359897,293298.4744599391
2020-06-09,1146712.2311755838,291215.9479345779
2020-06-10,1162442.192254445,289399.9231187146
2020-06-11,1076102.2873782672,272720.1027995405
2020-06-12,1090958.3098744059,276006.70621672913
2020-06-15,1129758.8360874949,278523.5028197962
2020-06-16,1165588.1844702174,283971.5772673861
2020-06-17,1162267.3778690393,282668.76703426865
2020-06-18,1182017.1364020891,282925.3893856387
2020-06-19,1189008.2450309505,281257.4043417219
2020-06-22,1245985.6003413561,283122.7657082359
2020-06-23,1265385.8634479006,284405.8473450919
2020-06-24,1211205.0049267618,277131.8687235109
2020-06-25,1233576.445863673,280063.17668802803
2020-06-26,1205437.3303071284,273499.78897179
2020-06-29,1212253.624550584,276056.07288737415
2020-06-30,1246335.0957678615,279737.4590697515
2020-07-01,1284611.3121690394,281652.18710691057
2020-07-02,1309779.2498952174,283073.42915758514
2020-07-06,1358891.5579940395,287465.4664852941
2020-07-07,1377942.1923297725,284484.79185013194
2020-07-08,1410800.3628821285,286596.92632988247
2020-07-09,1417092.347313673,285136.19696669065
2020-07-10,1413771.5407124949,287998.4096643013
2020-07-13,1365707.852237495,285392.8193180607
2020-07-14,1377592.6969032672,289212.39603425097
2020-07-15,1414470.6649098117,291778.52918796876
2020-07-16,1394021.782179445,290929.7176288185
2020-07-17,1409926.424299406,291699.5545629344
2020-07-20,1468651.5234309505,294127.52730283357
2020-07-21,1442260.1516955446,294739.44510687515
2020-07-22,1442434.9660809503,296417.2793889256
2020-07-23,1406430.9366571284,292874.05362036685
2020-07-24,1377767.511288673,290979.0842994635
2020-07-27,1432647.4940071283,293101.06801734766
2020-07-28,1386855.8591651781,291285.0432014843
2020-07-29,1399439.8280282672,294808.5403737816
2020-07-30,1405207.5026479007,293732.7144176506
2020-07-31,1404683.1928359896,296190.2951119391
2020-08-03,1462534.3533848117,298055.65647845314
2020-08-04,1471622.701261317,299309.1301609198
2020-08-05,1496266.329175584,301174.49152743386
2020-08-06,1483332.8648859896,303197.8021440165
2020-08-07,1441735.8418836338,303355.6911540965
2020-08-10,1458864.0513571284,304322.93453080393
2020-08-11,1425831.199763673,301865.38395650976
2020-08-12,1467253.2750363168,306000.7989328486
2020-08-13,1498888.011579445,305477.70499197487
